M,N,K,cuBLAS,Triton
256.000000,256.000000,256.000000,0.007168,0.018240
384.000000,384.000000,384.000000,0.008192,0.022528
512.000000,512.000000,512.000000,0.010240,0.027648
640.000000,640.000000,640.000000,0.016352,0.031744
768.000000,768.000000,768.000000,0.016384,0.036864
896.000000,896.000000,896.000000,0.024576,0.041984
1024.000000,1024.000000,1024.000000,0.027648,0.046080
1152.000000,1152.000000,1152.000000,0.030720,0.053248
1280.000000,1280.000000,1280.000000,0.038912,0.057344
1408.000000,1408.000000,1408.000000,0.056320,0.063488
1536.000000,1536.000000,1536.000000,0.067584,0.068608
1664.000000,1664.000000,1664.000000,0.108544,0.141312
1792.000000,1792.000000,1792.000000,0.126976,0.152576
1920.000000,1920.000000,1920.000000,0.148480,0.163840
2048.000000,2048.000000,2048.000000,0.177152,0.174080
2176.000000,2176.000000,2176.000000,0.181248,0.185344
2304.000000,2304.000000,2304.000000,0.193536,0.197632
2432.000000,2432.000000,2432.000000,0.233472,0.302080
2560.000000,2560.000000,2560.000000,0.301056,0.319488
2688.000000,2688.000000,2688.000000,0.334848,0.340992
2816.000000,2816.000000,2816.000000,0.419840,0.357376
2944.000000,2944.000000,2944.000000,0.490496,0.487424
3072.000000,3072.000000,3072.000000,0.529408,0.513024
3200.000000,3200.000000,3200.000000,0.606208,0.549760
3328.000000,3328.000000,3328.000000,0.691200,0.683008
3456.000000,3456.000000,3456.000000,0.836096,0.728064
3584.000000,3584.000000,3584.000000,0.761856,0.756704
3712.000000,3712.000000,3712.000000,0.942080,0.935936
3840.000000,3840.000000,3840.000000,0.985088,0.981504
3968.000000,3968.000000,3968.000000,1.043456,1.038336
4096.000000,4096.000000,4096.000000,1.218560,1.196528
