M,N,K,Triton
256.000000,256.000000,256.000000,0.021440
384.000000,384.000000,384.000000,0.027648
512.000000,512.000000,512.000000,0.033920
640.000000,640.000000,640.000000,0.040960
768.000000,768.000000,768.000000,0.047104
896.000000,896.000000,896.000000,0.054272
1024.000000,1024.000000,1024.000000,0.060528
1152.000000,1152.000000,1152.000000,0.068608
1280.000000,1280.000000,1280.000000,0.075776
1408.000000,1408.000000,1408.000000,0.083808
1536.000000,1536.000000,1536.000000,0.090112
1664.000000,1664.000000,1664.000000,0.187200
1792.000000,1792.000000,1792.000000,0.200704
1920.000000,1920.000000,1920.000000,0.215040
2048.000000,2048.000000,2048.000000,0.229376
2176.000000,2176.000000,2176.000000,0.242688
2304.000000,2304.000000,2304.000000,0.257024
2432.000000,2432.000000,2432.000000,0.399360
2560.000000,2560.000000,2560.000000,0.420656
2688.000000,2688.000000,2688.000000,0.441344
2816.000000,2816.000000,2816.000000,0.461824
2944.000000,2944.000000,2944.000000,0.633856
3072.000000,3072.000000,3072.000000,0.664576
3200.000000,3200.000000,3200.000000,0.692224
3328.000000,3328.000000,3328.000000,0.885264
3456.000000,3456.000000,3456.000000,0.925696
3584.000000,3584.000000,3584.000000,0.960672
3712.000000,3712.000000,3712.000000,1.181696
3840.000000,3840.000000,3840.000000,1.225728
3968.000000,3968.000000,3968.000000,1.270784
4096.000000,4096.000000,4096.000000,1.513472
